emotion,context,response
feeling_notgood,لا أشعر بشكل جيد,"أنا حقاً آسف لسماع ذلك، أستطيع أن أتخيل كم هذا صعب عليك، ولكن تذكر دائماً أنني هنا لأجلك"
feeling_notgood,لست بخير,بإمكانك أن تشاركني وتحدثني عن الأمور التي تجعلك تمر بهذا الوقت الصعب وتذكر أنك تستطيع إخباري بكل ما يخطر ببالك
tired,أشعر بالتعب,ليس من السهل أن نشعر بأن طاقتنا ضعيفة وضئيلة أو حتى خالية من الطاقة
tired,أنا متعب,أنا أشعر بك
tired,أنا أشعر بك,"شكرا لك، حقا شعور صعب"
tired,انا متعب حقا,إن شعورنا بالتعب غالباً ما يكون مرتبطاً بأسباب معينة سواء جسدية أو نفسية
tired,تعب جسدي ونفسي ؟,قد تتسائل ما الفرق بينهما ؟
tired,ما الفرق بين التعب الجسدي والنفسي؟,يبدو التعب الجسدي أكثر وضوحا في أواخر النهار أما النفسي يبلغ ذروته في الصباح
tired,ما هو التعب الجسدي,"يبدو التعب الجسدي أكثر وضوحاً في أواخر النهار ، وغالبا ما يزول بعد تجنب السبب المباشر له "
tired,ما هو التعب النفسي ؟,يبلغ التعب النفسي ذروته في الصباح ويزول تدريجياً مع تقدم النهار
tired,ما هو سبب شعوري بالتعب ؟,ممكن أن تكون الأسباب نفسية أو جسدية 
tired,لا أعلم ما هو السبب بالضبط,من المهم تحديد الأسباب التي تئدي لهذا الشعور
tired,هل من المهم معرفة السبب ؟,تحديد السبب هو  أول خطوة نبدأ بها لتجاوز الأمور 
tired,هل التعب الجسدي أكثر شيوعا من التعب النفسي,يعتبر التعب النفسي أكثر شيوعاً من التعب الجسدي
tired,ما هو التعب النفسي ؟,"قد يكون سبب التعب النفسي الكبت ، الأزمات ، الوحدة ، تحميل النفس فوق طاقتها وهذكا"
tired,لم أعرف ذلك مسبقاً ,هل تريد المزيد ؟
tired,أعرف ذلك,هذا جميل
tired,مثيرا للاهتمام ,هل لك أن تصف لي شعورك بالتعب ؟
tired,أشعر بالتعب بسبب الوحدة,يبدو أن هذا لم يكن سهلا عليك 
tired,أشعر بالتعب النفسي لأسباب كثيرة,ليس من السهل أن نعبر عما يزعجنا ويؤلمنا أنا أقدر ثقتك بي
tired,هل يمكنك مساعدتي في التخلص من التعب ؟,لقد تعلمت الكثير وبإمكاني أن أعرض عليك سبلاً للمساعدة لتخفيف شعورك بالتعب
tired,ما هي أسباب التعب الجسدي ؟,تتعدد الأسباب الجسدية للشعور بالتعب 
tired,ما هي الأسباب الجسدية للتعب ؟,التغذية السيئة قلة النوم المرض العمل لساعات طويلة إلخ
tired,هل يمكنك مساعدتي في التخلص من التعب ؟,بإمكاني أن أعرض عليك سبلاً للمساعدة هل أنت مستعد ؟
tired,أعطني نصائح للتخلص من التعب الجسدي,"النوم لمدة كافية 6-8 ساعات يومياً تنظيم برنامج العمل ممارسة الرياضة ، الاسترخاء ، استنشاق هواء نقي"
tired,أعطني المزيد من النصائح للتخلص من التعب الجسدي ,"الالتزام بنظام غذائي متوازن، تناول السوائل ، الإقلاع عن التدخين والكحول"
tired,لم يكن ذلك كافياً ,حسناً هل تريد بدء رحلة الدعم النفسي الذاتي في إعادة تشكيل الأفكار السلبية ؟
sadness,أشعر بالحزن,إن الشعور بالحزن أمر مؤسف وصعب للغاية أنا أشعر بك 
sadness,أنا حزين جداً,"أنا هنا لأجلك ، بإمكانك أن تخبرني ما الذي حدث ليشعرك بالحزن "
sadness,لدي شعور بالحزن ,ما هي الأسباب التي أودت بك إلى هذا الشعور ؟
sadness,لقد عانيت الكثير في الفترة الأخيرة ,هل تود إخباري به ونعمل عليه سوياً أنا جاهز دائماً لمساعدتك
sadness,أردت إخبارك به فقط ,ليس من السهل أن نشارك هذه الأمور أنا أقدر أنك قمت بمشاركة هذه الأمور معي
sadness,ساعدني في التخلص من الحزن,"لا عليك ، يصيبنا الحزن لأسباب كثيرة سواء كان موقفاً أساء لمشاعرنا أو ظرفا صعباً نمر به وقد يكون مرتبط بفصل معين للبعض كالشتاء"
sadness,لم يسبق لي معرفة ذلك ,سأخبرك المزيد
sadness,أخبرني المزيد عن الحزن ؟,"يسبب الشعور بالحزن الشعور بالقلق والتوتر ، كما يؤثر على أدائنا لمهامنا اليومية بالشكل السليم "
sadness,هل يضر الحزن بعلاقتنا بمن هم حولنا ؟,قد يصل الضرر لعلاقاتنا بمن هم حولنا ويسبب عدم الرضا عن أنفسنا 
sadness,هذا يشبه ما يحدث لي ,بإمكاني أن أقدم لك بعض النصائح لتخفيف شعورك بالحزن 
sadness,لا أريد النصائح ,إنها خطوات سريعة وسهلة للتخفيف من حالة الحزن 
sadness,لا اعتقد أنها ستجدي,هل هنا أساليب أخرى تتبعها للتخفيف من حالة الحزن ؟
sadness,نعم لدي أساليب أخرى ,هذا مثير للاهتمام هل لك أن تخبرني بهذا الطرق
sadness,لدي طرق أخرى للتعامل مع شعوري بالحزن ,أنا اتحدث للكثير من الأشخاص يومياً هل لك أن تخبرني بهذه الطرق لأخبرهم بها فقد يكون الأمر ملهماً لهم
sadness,ليس الآن سأخبرك فيما بعد ,لقد خطر ببالي أن أشاركك أنا أيضاً بشيء مثير للاهتمام قد قمت بمشاهدته مؤخراً
sadness,ما هو هذا الشيء ؟,حسناً هل سبق وفكرت ما هي أجمل عشر لحظات بالحياة ؟
sadness,نعم لقد فكرت في هذا ,لقد شاهدت فيديو قصير يتحدث عن أجمل عشر لحظات بالحياة وشعرت بالسعادة بعد مشاهدته 
sadness,لا لم أفكر في هذا من قبل ,هل تريد أن أشاركك الفيديو ؟
sadness,نفس الشيء,مممم لا عليك هذا ما يفترض أن تفعله تلك الوسيلة 
sadness,ماذا تقصد ؟,أقصد أنه لم يتم تزويدك بهذه الأمور لحل المشكلة بشكل جذري ولكن قد تكون للتخفيف من حدة المشكلة للبعض
sadness,لم يكن ذلك كافياً ,حسناً هل تريد بدء رحلة الدعم النفسي الذاتي في التغلب على الحديث السلبي مع النفس ؟
upset,أشعر بالاستياء,الشعور بالاستياء ناجم عن مجموعة من المشاعر السلبية والتي قد تتكون نتيجة الغضب والحقد وعدم حصولنا على النتائج التي نريد 
upset,أنا مستاء للغاية,"هل سبق وسمعت بهذا المقولة "" تجري الرياح بما لا تشتهي السفن "
upset,أنت لا تشعر بهذا الشعور السيء,قد سبق أن شعرت بالاستياء وأشعر به من حين لآخر 
upset,حقاً ؟ هذا غريب,صحيح ولكني أتغلب دوماً على هذا الشعور هل تعرف كيف ؟
